名称,经度,纬度,高度
@1进 ,105.8970979,29.25877433,298.708
@1 ,105.8971329,29.25877953,291.267
#1 ,105.8971286,29.25878731,268.229
@1出 ,105.8975218,29.25909653,291.165
@1入 ,105.8976141,29.25920092,282.369
@2 ,105.8976432,29.25921953,287.445
#2 ,105.8976191,29.25921389,264.786
@3出 ,105.8978027,29.25937356,287.55
@3入 ,105.8978395,29.25940356,282.17
#3 ,105.8980844,29.25961892,264.553
@5入 ,105.8984328,29.25986678,289.373
#4 ,105.8984541,29.25988011,267.086
#5 ,105.8987762,29.26011511,268.682
@5出 ,105.8987766,29.26011622,291.542
#6 ,105.8994898,29.26062919,263.105
@7入 ,105.8998001,29.26086686,286.842
@7出 ,105.9000011,29.26101086,286.969
#7 ,105.9001073,29.26107675,271.227
@8入 ,105.9001065,29.26107164,324.16
@8出 ,105.9001293,29.26145842,324.21
#8 ,105.9001458,29.26168772,269.043
@9 ,105.9001644,29.26208825,277.079
@9出 ,105.900174,29.26211369,279.146
#9 ,105.9001711,29.26213158,269.988
@10入 ,105.9001796,29.26230942,279.198
#10 ,105.9001996,29.26245911,270.49
#11 ,105.9003583,29.26341847,266.741
#12 ,105.9004088,29.26376389,264.689
#13 ,105.9003008,29.26417119,264.139
@14 ,105.9001646,29.26461372,304.079
#14 ,105.9001698,29.26473603,267.386
